Environment,Covariate,Quantile,Time,Value
PM,Ra,0.5,0,-0.6686531188382696
PM,Ra,0.5,14,-0.6044076043598733
PM,Ra,0.5,35,-0.5450572284100982
PM,Ra,0.5,65,-0.4770278051978221
PM,Ra,0.5,90,-0.3663847958069489
PM,Ra,0.75,0,-0.6762298452698249
PM,Ra,0.75,14,-0.6205651128624494
PM,Ra,0.75,35,-0.5603129280863988
PM,Ra,0.75,65,-0.49436295037939365
PM,Ra,0.75,90,-0.40151651816119077
PM,RH2M,0.25,0,-0.9212451136840983
PM,RH2M,0.25,14,0.30944924056942047
PM,RH2M,0.25,35,-0.5895828328894616
PM,RH2M,0.25,65,-0.8452619977637871
PM,RH2M,0.25,90,-0.5730989644342638
PM,RH2M,0.5,0,-1.3386829437056096
PM,RH2M,0.5,14,0.21535072397130733
PM,RH2M,0.5,35,-0.3513944873282166
PM,RH2M,0.5,65,-1.0321010216738273
PM,RH2M,0.5,90,-0.6663525940931878
PM,RH2M,0.75,0,-1.6026082287708205
PM,RH2M,0.75,14,0.5902881747984001
PM,RH2M,0.75,35,-0.3143632945723359
PM,RH2M,0.75,65,-0.7976383406041584
PM,RH2M,0.75,90,-0.6117415974579347
PM,SPV,0.25,0,-1.483465739267322
PM,SPV,0.25,14,-1.0792764843997267
PM,SPV,0.25,35,-0.7723575209382894
PM,SPV,0.25,65,-0.642056156925211
PM,SPV,0.25,90,-0.6094914915739114
PM,SPV,0.5,0,-1.2608575063971883
PM,SPV,0.5,14,-0.9573863768834606
PM,SPV,0.5,35,-0.7149473396248912
PM,SPV,0.5,65,-0.6409810314040081
PM,SPV,0.5,90,-0.7216883779618073
PM,SPV,0.75,0,-1.2286159686711329
PM,SPV,0.75,14,-0.7715510460692703
PM,SPV,0.75,35,-0.8034773554628322
PM,SPV,0.75,65,-0.7945932321119727
PM,SPV,0.75,90,-0.8621410916432756
PM,Srad,0.25,0,-1.28153097092678
PM,Srad,0.25,14,1.317983852046199
PM,Srad,0.25,35,-0.05905937661153185
PM,Srad,0.25,65,-0.0410592719663897
PM,Srad,0.25,90,-1.3663501345129343
PM,Srad,0.5,0,-0.587692037497971
PM,Srad,0.5,14,0.3796062575940649
PM,Srad,0.5,35,0.15495584162513942
PM,Srad,0.5,65,-0.8405186257465717
PM,Srad,0.5,90,-1.2941815902912335
PM,Srad,0.75,0,-1.4083241795236334
PM,Srad,0.75,14,-0.7059457049788518
PM,Srad,0.75,35,0.18683945709853725
PM,Srad,0.75,65,0.6162851670407692
PM,Srad,0.75,90,-0.7903460538959133
PM,T2M_MAX,0.25,0,-1.0792800686244248
PM,T2M_MAX,0.25,14,-1.238979078954008
PM,T2M_MAX,0.25,35,-0.6885203716804349
PM,T2M_MAX,0.25,65,-0.3215891423994329
PM,T2M_MAX,0.25,90,-0.43862692712132223
PM,T2M_MAX,0.5,0,-0.6669390774259396
PM,T2M_MAX,0.5,14,-0.7752461833110155
PM,T2M_MAX,0.5,35,-0.7431049307939376
PM,T2M_MAX,0.5,65,-0.5684704760517503
PM,T2M_MAX,0.5,90,-0.4560939444690982
PM,T2M_MAX,0.75,0,-0.6854567688338868
PM,T2M_MAX,0.75,14,-0.6760801729694785
PM,T2M_MAX,0.75,35,-0.6088630587418634
PM,T2M_MAX,0.75,65,-0.6587828095264527
PM,T2M_MAX,0.75,90,-0.5441315403186077
PM,T2M_MIN,0.25,0,-1.0137396212761938
PM,T2M_MIN,0.25,14,-1.0882529848506295
PM,T2M_MIN,0.25,35,-0.6827981553119921
PM,T2M_MIN,0.25,65,-0.7676629406757832
PM,T2M_MIN,0.25,90,-0.7132835654068883
PM,T2M_MIN,0.5,0,-1.3899001224264202
PM,T2M_MIN,0.5,14,-1.073751290319533
PM,T2M_MIN,0.5,35,-0.6546652424220839
PM,T2M_MIN,0.5,65,-0.7910100762671533
PM,T2M_MIN,0.5,90,-0.8803187757856086
PM,T2M_MIN,0.75,0,-1.5272340896920797
PM,T2M_MIN,0.75,14,-1.2356004494225648
PM,T2M_MIN,0.75,35,-0.8010356623512198
PM,T2M_MIN,0.75,65,-0.6789663339133859
PM,T2M_MIN,0.75,90,-0.9996538090028437
PM,T2M,0.25,0,-1.4546464407620212
PM,T2M,0.25,14,-1.1930587853459962
PM,T2M,0.25,35,-0.8956112012397918
PM,T2M,0.25,65,-0.6804283638499773
PM,T2M,0.25,90,-0.5998047277871187
PM,T2M,0.5,0,-1.2175778841115903
PM,T2M,0.5,14,-1.1377761117878544
PM,T2M,0.5,35,-0.862701435301578
PM,T2M,0.5,65,-0.6405546075901408
PM,T2M,0.5,90,-0.7070035317013406
PM,T2M,0.75,0,-1.1984705805923057
PM,T2M,0.75,14,-0.9459525770963554
PM,T2M,0.75,35,-0.8900414608389322
PM,T2M,0.75,65,-0.7314490682154566
PM,T2M,0.75,90,-0.808295433263257
PM,T2MDEW,0.25,0,-1.690080637785622
PM,T2MDEW,0.25,14,-1.267035085140401
PM,T2MDEW,0.25,35,-0.9093270870446233
PM,T2MDEW,0.25,65,-0.9263905062871755
PM,T2MDEW,0.25,90,-1.0804038894610029
PM,T2MDEW,0.5,0,-1.6300633360065682
PM,T2MDEW,0.5,14,-1.4435819608558897
PM,T2MDEW,0.5,35,-0.8878200139784059
PM,T2MDEW,0.5,65,-0.8486248053825539
PM,T2MDEW,0.5,90,-1.1240627566281618
PM,T2MDEW,0.75,0,-1.6921136592097588
PM,T2MDEW,0.75,14,-1.3687188672638269
PM,T2MDEW,0.75,35,-1.2139310037078217
PM,T2MDEW,0.75,65,-0.7594777171620101
PM,T2MDEW,0.75,90,-1.1975704705523753
PM,VPD,0.25,0,1.3134488987276072
PM,VPD,0.25,14,-0.7234421621458155
PM,VPD,0.25,35,0.05614144554636058
PM,VPD,0.25,65,0.37787400935553195
PM,VPD,0.25,90,0.049326236841030324
PM,VPD,0.5,0,0.40920347610231206
PM,VPD,0.5,14,-0.4548562097591431
PM,VPD,0.5,35,0.0473539697476792
PM,VPD,0.5,65,0.3867726135185619
PM,VPD,0.5,90,-0.031627554191117326
PM,VPD,0.75,0,0.4198246753173531
PM,VPD,0.75,14,-0.2955352315596766
PM,VPD,0.75,35,0.024051336768831987
PM,VPD,0.75,65,0.16799439217448123
PM,VPD,0.75,90,-0.0656452310927693
PM,WS2M,0.25,0,0.4032750825766512
PM,WS2M,0.25,14,0.9450327551972295
PM,WS2M,0.25,35,0.8303268368178081
PM,WS2M,0.25,65,0.5663263691808779
PM,WS2M,0.25,90,0.7115117165471636
PM,WS2M,0.5,0,0.37431861651216375
PM,WS2M,0.5,14,0.7583366247320764
PM,WS2M,0.5,35,0.6326344569462347
PM,WS2M,0.5,65,0.6770306756080449
PM,WS2M,0.5,90,0.7031721907400715
PM,WS2M,0.75,0,0.44099501127215224
PM,WS2M,0.75,14,0.6374502403499834
PM,WS2M,0.75,35,0.772907462795135
PM,WS2M,0.75,65,0.7214707497151197
PM,WS2M,0.75,90,0.6428193421851117
PM,SOIL,NA,NA,-1.5012002473002468
PM,ALT,NA,NA,1.5946292633423516
SE,ETP,0.25,0,-0.8199206958134678
SE,ETP,0.25,14,-1.3291326398866472
SE,ETP,0.25,35,-1.5660605775118495
SE,ETP,0.25,65,-1.5123767383282207
SE,ETP,0.25,90,1.070238375543377
SE,ETP,0.5,0,-1.448283091900553
SE,ETP,0.5,14,-1.6352837866721868
SE,ETP,0.5,35,-1.4646322899204196
SE,ETP,0.5,65,-1.344161303836534
SE,ETP,0.5,90,1.2290633791376875
SE,ETP,0.75,0,0.8519888694523806
SE,ETP,0.75,14,-1.2206544331415594
SE,ETP,0.75,35,-1.0097531443119954
SE,ETP,0.75,65,-1.550649554008237
SE,ETP,0.75,90,1.6591269002920137
SE,fRUE,0.25,0,-0.5971037791774243
SE,fRUE,0.25,14,-0.5753989237227282
SE,fRUE,0.25,35,-0.9262528356908106
SE,fRUE,0.25,65,-1.1788092610747818
SE,fRUE,0.25,90,-1.2711065564431956
SE,fRUE,0.5,0,-0.6950122686130545
SE,fRUE,0.5,14,-0.7323841759170278
SE,fRUE,0.5,35,-1.1335091525513243
SE,fRUE,0.5,65,-1.1755625616320264
SE,fRUE,0.5,90,-1.1139113927629332
SE,fRUE,0.75,0,-0.62842367609778
SE,fRUE,0.75,14,-0.8608086045534904
SE,fRUE,0.75,35,-1.0863211102577701
SE,fRUE,0.75,65,-1.2057648623171644
SE,fRUE,0.75,90,-0.9720143526932455
SE,n,0.25,0,-0.690772870755298
SE,n,0.25,14,-0.5751697226048508
SE,n,0.25,35,-1.7697420495452312
SE,n,0.25,65,-1.6536553484256349
SE,n,0.25,90,1.7118767849013141
SE,N,0.25,0,1.636462562097374
SE,N,0.25,14,0.5180362424438617
SE,N,0.25,35,-0.634315859324443
SE,N,0.25,65,-1.0231476080435833
SE,N,0.25,90,-1.2891930532566804
SE,n,0.5,0,-1.4552646735221042
SE,n,0.5,14,-1.6430981431237337
SE,n,0.5,35,-1.604453335897323
SE,n,0.5,65,-0.6509166256303653
SE,n,0.5,90,1.6734228821608823
SE,N,0.5,0,1.7078427616346508
SE,N,0.5,14,0.871572805472956
SE,N,0.5,35,-0.4523283679886902
SE,N,0.5,65,-0.9553585138975591
SE,N,0.5,90,-1.2253291076545214
